Wall time,Step,Value
1569095237.614637,5060,98.4375
1569095244.897022,5078,100.0
1569095245.5093842,5101,96.875
1569095245.6410322,5106,98.4375
1569095245.6679604,5107,96.875
1569095246.1835816,5126,100.0
1569095246.2434218,5128,100.0
1569095246.4019973,5134,100.0
1569095247.0851717,5160,100.0
1569095251.7666955,5165,98.4375
1569095252.0818532,5178,96.875
1569095252.1855755,5182,98.4375
1569095252.6533253,5200,100.0
1569095252.837832,5208,96.875
1569095253.4372303,5231,100.0
1569095253.5150213,5234,95.3125
1569095253.5409522,5235,100.0
1569095253.648663,5239,95.3125
1569095253.679581,5240,98.4375
1569095253.7962697,5244,95.3125
1569095258.9818423,5266,98.4375
1569095259.5423439,5289,100.0
1569095259.8954003,5302,98.4375
1569095260.3013144,5318,98.4375
1569095260.5955274,5329,96.875
1569095261.0273733,5345,96.875
1569095261.3983808,5359,96.875
1569095261.4263058,5360,96.875
1569095261.5050952,5363,100.0
1569095266.4042552,5380,98.4375
1569095266.5089755,5384,95.3125
1569095267.0485334,5404,98.4375
1569095267.1093705,5406,98.4375
1569095267.5043144,5420,95.3125
1569095267.621002,5425,95.3125
1569095267.9920099,5439,98.4375
1569095268.0219302,5440,98.4375
1569095268.0747883,5442,96.875
1569095268.1974604,5447,96.875
1569095273.6229541,5475,96.875
1569095273.8583238,5484,98.4375
1569095274.070756,5491,98.4375
1569095274.1674964,5495,96.875
1569095274.3131077,5501,98.4375
1569095274.4607122,5507,98.4375
1569095274.5793955,5512,98.4375
1569095274.6631718,5515,93.75
1569095274.7180247,5517,96.875
1569095275.122942,5532,93.75
1569095275.351331,5541,96.875
1569095275.5358381,5549,98.4375
1569095280.7023485,5566,98.4375
1569095280.8170416,5571,100.0
1569095280.8728926,5573,98.4375
1569095281.2010157,5585,95.3125
1569095281.2468922,5587,98.4375
1569095281.4124506,5593,98.4375
1569095281.7036707,5605,98.4375
1569095281.8083909,5610,96.875
1569095282.0676982,5620,100.0
1569095282.3060608,5630,96.875
1569095282.7289302,5647,93.75
1569095283.0231442,5658,100.0
1569095283.0650303,5660,100.0
1569095283.160775,5664,96.875
1569095288.6689775,5679,98.4375
1569095289.7191696,5720,96.875
1569095289.8019474,5723,100.0
1569095289.9116545,5727,98.4375
1569095290.285655,5741,93.75
1569095290.5569282,5752,95.3125
1569095290.724481,5759,98.4375
1569095295.6958432,5776,96.875
1569095295.7746322,5779,96.875
1569095295.9062815,5784,98.4375
1569095296.036933,5789,96.875
1569095296.2024887,5795,95.3125
1569095296.5365953,5807,100.0
1569095296.5665157,5808,100.0
1569095297.0382543,5825,100.0
1569095297.1230278,5828,98.4375
1569095297.3075337,5835,96.875
1569095298.0056682,5862,100.0
1569095298.0575287,5864,98.4375
1569095302.9834545,5871,100.0
1569095303.2577217,5881,96.875
1569095303.4551926,5889,96.875
1569095303.5100458,5891,95.3125
1569095303.6985412,5898,96.875
1569095303.9059868,5907,100.0
1569095311.195079,5917,96.875
1569095311.2210093,5918,98.4375
1569095311.4872973,5928,100.0
1569095311.602987,5932,100.0
1569095311.6309125,5933,100.0
1569095312.1704705,5952,96.875
1569095312.2851634,5957,98.4375
1569095312.3250575,5959,98.4375
1569095312.404843,5963,96.875
1569095312.6282468,5972,98.4375
1569095313.0421407,5990,98.4375
1569095318.4396608,6010,100.0
1569095318.5463758,6015,98.4375
1569095318.8066795,6024,100.0
1569095318.985202,6030,98.4375
1569095319.0101376,6031,93.75
1569095319.0410538,6032,93.75
1569095319.1188457,6035,100.0
1569095319.1886585,6038,98.4375
1569095319.7092662,6060,96.875
1569095320.1610582,6077,100.0
1569095320.1820025,6078,96.875
1569095320.274755,6082,98.4375
1569095320.4313352,6087,95.3125
1569095320.6078627,6094,100.0
1569095320.8113196,6103,100.0
1569095320.8651757,6105,100.0
1569095325.6064723,6115,100.0
1569095325.7700338,6121,98.4375
1569095325.8208988,6123,96.875
1569095325.95853,6129,96.875
1569095326.0004175,6131,100.0
1569095326.0492892,6133,96.875
1569095326.3295383,6145,98.4375
1569095326.384392,6147,95.3125
1569095326.4232883,6149,96.875
1569095327.0286689,6172,98.4375
1569095327.2411013,6181,98.4375
1569095327.3029351,6184,100.0
1569095327.7307909,6200,96.875
1569095332.8266578,6210,100.0
1569095332.8386252,6211,96.875
1569095332.8884926,6213,100.0
1569095333.0540497,6219,98.4375
1569095333.1946743,6225,100.0
1569095333.362226,6232,98.4375
1569095333.4749243,6237,95.3125
1569095333.6694036,6244,95.3125
1569095333.8289773,6250,100.0
1569095334.1481245,6263,96.875
1569095334.8133452,6289,100.0
1569095340.138476,6309,100.0
1569095340.1813614,6312,100.0
1569095340.281095,6316,98.4375
1569095340.3010416,6317,95.3125
1569095340.447649,6324,100.0
1569095340.8505857,6341,100.0
1569095341.117857,6352,93.75
1569095341.3711798,6363,96.875
1569095341.5347424,6370,100.0
1569095341.6723747,6376,95.3125
1569095342.246838,6400,98.4375
1569095347.999456,6447,98.4375
1569095348.2078986,6455,98.4375
1569095348.316608,6459,100.0
1569095348.6407406,6472,96.875
1569095348.925979,6483,98.4375
1569095349.0336902,6487,98.4375
1569095349.2271729,6495,100.0
1569095349.24712,6496,96.875
1569095349.3358817,6500,100.0
1569095354.206987,6509,98.4375
1569095354.2159622,6510,93.75
1569095354.4642978,6520,100.0
1569095354.4922233,6521,98.4375
1569095354.5201488,6522,100.0
1569095354.7096417,6530,100.0
1569095355.1753972,6550,100.0
1569095355.7698076,6574,98.4375
1569095355.87353,6578,100.0
1569095355.9243941,6580,95.3125
1569095355.9483302,6581,100.0
1569095356.0281186,6584,98.4375
1569095356.2684736,6593,96.875
1569095356.2973964,6594,98.4375
1569095356.5317702,6603,98.4375
1569095356.612554,6606,100.0
1569095361.558361,6616,95.3125
1569095361.689011,6621,100.0
1569095362.6185265,6657,98.4375
1569095362.870852,6666,98.4375
1569095362.916729,6668,98.4375
1569095363.0284307,6672,100.0
1569095363.1720457,6678,98.4375
1569095363.244852,6681,100.0
1569095363.4243712,6688,100.0
1569095363.634808,6696,98.4375
1569095363.7056198,6699,96.875
1569095363.9260302,6707,98.4375
1569095368.6806338,6711,100.0
1569095368.7803676,6715,100.0
1569095369.034688,6725,96.875
1569095369.057627,6726,98.4375
1569095369.367797,6738,98.4375
1569095369.4735134,6742,100.0
1569095369.661013,6749,98.4375
1569095376.3851807,6753,98.4375
1569095376.654461,6764,98.4375
1569095376.9586477,6776,100.0
1569095377.3795218,6792,98.4375
1569095378.033773,6817,98.4375
1569095378.4297137,6832,96.875
1569095378.8126893,6846,96.875
1569095378.913421,6850,96.875
1569095383.6727602,6854,98.4375
1569095383.8512828,6862,100.0
1569095384.0038745,6868,98.4375
1569095384.0268137,6869,98.4375
1569095384.4806,6886,100.0
1569095384.7079916,6895,95.3125
1569095384.8655703,6901,95.3125
1569095385.072019,6909,98.4375
1569095385.1388392,6912,98.4375
1569095385.7172928,6934,95.3125
1569095385.7970803,6937,98.4375
1569095386.1810539,6951,100.0
1569095391.0193794,6955,100.0
1569095391.2218378,6963,100.0
1569095391.2926495,6966,98.4375
1569095391.4412513,6972,100.0
1569095391.9199715,6990,98.4375
1569095391.9718318,6992,100.0
1569095392.4485595,7010,98.4375
1569095392.5512831,7014,100.0
1569095392.6280768,7017,96.875
1569095393.027012,7032,100.0
1569095393.1097898,7035,100.0
1569095393.211518,7039,100.0
1569095393.3820622,7046,100.0
1569095398.4488816,7059,98.4375
1569095398.596488,7065,96.875
1569095398.9635057,7079,96.875
1569095399.2646992,7091,96.875
1569095399.4571853,7098,96.875
1569095399.6606407,7106,100.0
1569095399.8700807,7114,98.4375
1569095399.8950143,7115,95.3125
1569095400.0536003,7120,100.0
1569095400.144348,7124,98.4375
1569095400.5103683,7137,100.0
1569095400.6260588,7141,100.0
1569095405.4382467,7155,96.875
1569095405.7653706,7167,93.75
1569095405.792299,7168,100.0
1569095405.9768054,7175,100.0
1569095406.1842508,7183,98.4375
1569095406.3518026,7189,100.0
1569095406.507387,7195,96.875
1569095406.7058568,7202,98.4375
1569095406.755723,7204,96.875
1569095406.9900963,7213,93.75
1569095407.0429559,7215,100.0
1569095407.071878,7216,100.0
1569095407.545611,7235,98.4375
